,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
1,8.87899E+11,259193368,Acer,Acer,NX.SHEAA.006,259193368,887899398186,00887899398186,,3-cell,8.50 Hour,No,Yes,Yes,No,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,ComfyView,Chromebook,NX.SHEAA.006,"Acer, Inc",C720-29552G01aii,C720-29552G01aii Notebook,C720,Acer,2 GB,DDR3L SDRAM,C720-29552G01aii NotebookLithium Polymer BatteryAC Adapter,Yes,EPEAT Silver,Yes,Yes,IEEE 802.11a/b/g/n,2.76 lb,Granite Gray,"0.8""","11.3""","8""",No,16 GB,1.40 GHz,Celeron,2955U,Dual-core (2 Core),Intel,Chrome OS,64-bit,Chrome OS,1 Year,,,,
2,7.22571E+11,278762979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.89349E+11,284239063,Asus,,90NP0232-M02210,284239063,889349130445,00889349130445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.87276E+11,293307847,Samsung,,XE500C13-K01US,293307847,887276124025,00887276124025,,2-cell,,,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,LPDDR3,Shared,,Chromebook,XE500C13-K01US,Samsung,,Chromebook 3 Chromebook,,Samsung,2 GB,LPDDR3, Chromebook 3 Chromebook Lithium Polymer Battery AC Adapter ,Yes,RoHS /  ENERGY STAR,Yes,Yes,IEEE 802.11ac,2.54 lb,Metallic Black,,,,,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,,,,
7,8.86228E+11,291846042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8.89349E+11,281153225,ASUS - CHROMEBOOK,ASUS - CHROMEBOOK,90NL0912-M00300,281153225,889349057841,00889349057841,,2-cell,13 Hour,,,,,2,,16:9,1366 x 768,"11.6""",ARM,Mali-T764,,,,Chromebook,90NL0912-M00300,ASUS Computer International,C201PA-DS01,Chromebook C201PA-DS01,C201,Asus,2 GB,DDR3 SDRAM, Chromebook C201PA-DS01 AC Adapter User E-Manual Warranty Card ,Yes,RoHS,Yes,Yes,IEEE 802.11ac,2 lb,Navy Blue,"0.7""","11.3""","7.6""",No,16 GB,1.80 GHz,Cortex A17,RK3288,Quad-core (4 Core),Rockchip,Chrome OS,,Chrome OS,1 Year,Yes,Yes,No,
10,8.50525E+11,291704632,VULCAN ELECTRONICS,,VNB14002IE,291704632,850525006397,00850525006397,,,7 Hour,,,,,2,,16:9,1366 x 768,"14""",,,,,In-plane Switching (IPS) Technology,Notebook,VNB14002IE,Vulcan Electronics,,Venture II Notebook,,Vulcan,2 GB,DDR3 SDRAM,,,,,,,,,"0.8""","13.8""","9.2""",,32 GB,,,,Quad-core (4 Core),,,,,,,,,
11,8.87111E+11,233078313,Hewlett Packard,,A7E36UT#ABA,233078313,887111337160,00887111337160,,,,,,,Yes,6,4,,,,,,,,,Docking Station,A7E36UT#ABA,HP Inc.,,2012 120W Advanced Docking Station,,HP,,,,,,,,,3.61 lb,,"2.6""","10.7""","10.2""",,,,,,,,,,,1 Year,,,,
15,8.88863E+11,294598209,Acer,,NX.G85AA.001,294598209,888863408634,00888863408634,,3-cell,,No,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView /  In-plane Switching (IPS) Technology,Chromebook,NX.G85AA.001,"Acer, Inc",CB3-131-C3SZ,CB3-131-C3SZ Chromebook,CB3-131,Acer,2 GB,DDR3L SDRAM,CB3-131-C3SZ ChromebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,2.43 lb,,"0.7""","11.6""","8""",No,,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,,,,16 GB
16,8.89894E+11,287025553,HP INC. - CONSUMER ENTRY,,P3U33UA#ABA,287025553,889894330611,00889894330611,,3-cell,,,,,,3,1,16:9,1366 x 768,"13.3""",,,,,,Notebook,P3U33UA#ABA,HP Inc.,13-c110nr,Stream 13-c110nr Notebook,13-c100,HP,2 GB,DDR3L SDRAM, Stream 13-c110nr Notebook Lithium Ion Battery AC Adapter ,Yes,EPEAT Silver,Yes,Yes,IEEE 802.11b/g/n,,,,,,,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10,,Windows,,,,,
17,8.879E+11,282264155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8.28064E+11,289412780,Visual Land,,ME9W32GBBLK,289412780,828063514926,00828063514926,,,,,Yes,,,,,16:10,1280 x 800,"8.9""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,ME9W32GBBLK,"Visual Land, Inc",,Premier 9 2 in 1 Netbook,,Visual Land,1 GB,DDR3L SDRAM, Premier 9 2 in 1 Netbook Standard Battery AC Adapter Docking Keyboard Case ,,,Yes,Yes,IEEE 802.11b/g/n,1.10 lb,Black,"0.4""","9.2""","6""",,,1.33 GHz,Atom,,Quad-core (4 Core),Intel,Windows 10,,Windows,1 Year,,,,
19,8.879E+11,269278245,Acer,,NT.L4TAA.008,269278245,887899686832,00887899686832,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3LM SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,NT.L4TAA.008,"Acer, Inc",SW5-012-14HK,Aspire SW5-012-14HK 2 in 1 Netbook,SW5-012,Acer,2 GB,DDR3L SDRAM,Aspire SW5-012-14HK 2 in 1 NetbookLithium Polymer BatteryAC AdapterKeyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.58 lb,,"0.4""","10.3""","7""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 8.1 Pro,32-bit,Windows,,Yes,Yes,Yes,
20,8.84116E+11,297509071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8.88863E+11,286103940,Acer,,NX.SHKAA.001,286103940,888863406821,00888863406821,,2-cell,,No,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Notebook,NX.SHKAA.001,"Acer, Inc",AO1-131M-C1T4,Aspire One Cloudbook 11 AO1-131M-C1T4 Notebook,1-131M,Acer,2 GB,DDR3L SDRAM,Aspire One Cloudbook 11 AO1-131M-C1T4 NotebookLithium Polymer BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,2.54 lb,,"0.7""","11.5""","8""",No,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10 Pro,64-bit,Windows,,,,,32 GB
23,8.87276E+11,276121320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8.88863E+11,292342603,Acer,,AO1-131-C9PM,292342603,888863343775,00888863343775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,8.84116E+11,278005316,DELL CHROMEBOOKS,DELL CHROMEBOOKS,463-5179,278005316,884116183464,00884116183464,,3-cell,10 Hour,,,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,463-5179,"Dell, Inc",,11 Chromebook,11,Dell,2 GB,DDR3L SDRAM,11 ChromebookStandard BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,2.70 lb,Blue,"0.8""","11.6""","8.6""",,16 GB,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,1 Year,Yes,,,
26,8.89801E+11,287198969,Lenovo,Lenovo,80QN0009US,287198969,889800850318,00889800850318,,2-cell,8 Hour,,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,80QN0009US,Lenovo Group Limited,80QN0009US,IdeaPad 100S 80QN0009US Chromebook,100S,Lenovo,2 GB,DDR3L SDRAM, IdeaPad 100S 80QN0009US Chromebook AC Adapter and Cord ,,,Yes,Yes,IEEE 802.11ac,2.60 lb,,"0.8""","11.8""","8.2""",No,,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,Yes,,No,16 GB
27,1.90152E+11,293610521,Lenovo,Lenovo,80SF0001US,293610521,190151606555,00190151606555,,3-cell,,,Yes,Yes,,3,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,80SF0001US,Lenovo Group Limited,80SF0001US,N22 80SF0001US Chromebook,N22,Lenovo,4 GB,DDR3L SDRAM, N22 80SF0001US Chromebook Lithium Ion Battery AC Adapter ,Yes,RoHS,Yes,Yes,IEEE 802.11ac,2.69 lb,,"0.9""","11.8""","8.3""",,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,Yes,,,
28,8.88863E+11,286953639,Acer,,NT.LB9AA.001,286953639,888863341665,00888863341665,,,,,Yes,,,,,16:10,1280 x 800,"10.1""",,,,,In-plane Switching (IPS) Technology,Tablet,NT.LB9AA.001,"Acer, Inc",B3-A10-K154,ICONIA B3-A10-K154 Tablet,B,Acer,1 GB,DDR3L SDRAM,ICONIA B3-A10-K154 TabletAC Adapter,Yes,RoHS /  WEEE,Yes,Yes,IEEE 802.11a/b/g/n,1.12 lb,,"0.4""","6.8""","9.6""",No,,1.70 GHz,,MT8151V,Octa-core (8 Core),MediaTek,Android 4.4 KitKat,,Android,,,,,32 GB
29,1.90152E+11,293610517,Lenovo,Lenovo,80SF0000US,293610517,190151606531,00190151606531,,3-cell,,,,Yes,,3,1,16:9,1366 x 768,"11.6""",,,,,,Chromebook,80SF0000US,Lenovo Group Limited,80SF0000US,N22 80SF0000US Chromebook,N22,Lenovo,2 GB,DDR3L SDRAM, N22 80SF0000US Chromebook Lithium Ion Battery AC Adapter ,Yes,RoHS,,,,2.69 lb,,"0.9""","11.8""","8.3""",,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,Yes,,,
